TAB_ID,title,abstract,journal,pmid,radiotracer_1_abstract,radiotracer_2_abstract,protein_1_abstract,DNA_1_abstract,cell_line_1_abstract
10177,"High long-term test-retest reliability for extrastriatal 11C-raclopride binding in healthy older adults.","In vivo dopamine D2-receptor availability is frequently assessed with 11C-raclopride and positron emission tomography. Due to low signal-to-noise ratios for 11C-raclopride in areas with low D2 receptor densities, the ligand has been considered unreliable for measurements outside the dopamine-dense striatum. Intriguingly, recent studies show that extrastriatal 11C-raclopride binding potential (BPND) values are (i) reliably higher than in the cerebellum (where D2-receptor levels are negligible), (ii) correlate with behavior in the expected direction, and (iii) showed good test-retest reliability in a sample of younger adults. The present work demonstrates high seven-month test-retest reliability of striatal and extrastriatal 11C-raclopride BPND values in healthy, older adults (n = 27, age: 64-78 years). Mean 11C-raclopride BPND values were stable between test sessions in subcortical nuclei, and in frontal and temporal cortices (p > 0.05). Across all structures analyzed, intraclass correlation coefficients were high (0.85-0.96), absolute variability was low (mean: 4-8%), and coefficients of variance ranged between 9 and 25%. Furthermore, regional 11C-raclopride BPND values correlated with previously determined 18F-fallypride BPND values (ρ = 0.97 and 0.92 in correlations with and without striatal values, respectively, p < 0.01) and postmortem determined D2-receptor densities (including striatum: ρ = 0.92; p < 0.001; excluding striatum: ρ = 0.75; p = 0.067). These observations suggest that extrastriatal 11C-raclopride measurements represent a true D2 signal.","Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism",31506011,18F-fallypride,"11C-raclopride measurements","dopamine-dense striatum",NULL,NULL
579,"An 18F-Labeled PSMA Ligand for PET/CT of Prostate Cancer: First-in-Humans Observational Study and Clinical Experience with 18F-JK-PSMA-7 During the First Year of Application.","In preclinical trials, the recently developed tracer 2-methoxy-18F-DCFPyL (18F-JK-prostate-specific membrane antigen [PSMA]-7) has shown favorable properties regarding clinical performance and radiochemical accessibility. The aim of this study was to evaluate the clinical utility of 18F-JK-PSMA-7 for PET/CT imaging of patients with prostate cancer. Methods: In an Institutional Review Board-approved pilot study, the initial clinical utility of PET/CT imaging with 18F-JK-PSMA-7 was directly compared with 68Ga-PSMA-11 PET/CT in a group of 10 patients with prostate cancer. The 2 PSMA tracers were administered to each patient less than 3 wk apart. Next, we analyzed the data of 75 consecutive patients who had undergone clinical 18F-JK-PSMA-7 PET/CT imaging for tumor localization of biochemical recurrence (BCR). Results: The pilot study in 10 patients who were examined with both PSMA tracers demonstrated that 18F-JK-PSMA-7 was at least equivalent to 68Ga-PSMA-11. All unequivocally 68Ga-PSMA-11-positive lesions could be also detected using 18F-JK-PSMA-7, and in 4 patients additional suspected PSMA-positive lesions were identified (1 patient changed from PSMA-negative to PSMA-positive). In patients with BCR (after prostatectomy or radiotherapy), the capacity of 18F-JK-PSMA-7 PET/CT to detect at least one PSMA-positive lesion was 84.8%. The prostate-specific antigen (PSA)-stratified detection rate of 18F-JK-PSMA-7 after prostatectomy varied among 54.5% (6/11 patients; PSA < 0.5 μg/L), 87.5% (14/16 patients; PSA 0.5-2 μg/L), and 90.9% (20/22 patients; PSA > 2 μg/L). Conclusion: The tracer 18F-JK-PSMA-7 was found to be safe and clinically useful. We demonstrated that 18F-JK-PSMA-7 was not inferior when directly compared with 68Ga-PSMA-11 in a pilot study but indeed identified additional PSMA-avid suspected lesions in oligometastasized patients with BCR. In a subsequent analysis of a clinical cohort of BCR patients, 18F-JK-PSMA-7 was useful in tumor localization. 18F-JK-PSMA-7 is recommended for future prospective trials.","Journal of nuclear medicine : official publication, Society of Nuclear Medicine",31324713,18F-JK-PSMA-7,"68Ga-PSMA-11-positive lesions",BCR,NULL,PSMA-positive
70502,"Synthesis, radiolabelling and initial biological characterisation of 18F-labelled xanthine derivatives for PET imaging of Eph receptors.","Eph receptor tyrosine kinases, particularly EphA2 and EphB4, represent promising candidates for molecular imaging due to their essential role in cancer progression and therapy resistance. Xanthine derivatives were identified to be potent Eph receptor inhibitors with IC50 values in the low nanomolar range (1-40 nm). These compounds occupy the hydrophobic pocket of the ATP-binding site in the kinase domain. Based on lead compound 1, we designed two fluorine-18-labelled receptor tyrosine kinase inhibitors ([18F]2/3) as potential tracers for positron emission tomography (PET). Docking into the ATP-binding site allowed us to find the best position for radiolabelling. The replacement of the methyl group at the uracil residue ([18F]3) rather than the methyl group of the phenoxy moiety ([18F]2) by a fluoropropyl group was predicted to preserve the affinity of the lead compound 1. Herein, we point out a synthesis route to [18F]2 and [18F]3 and the respective tosylate precursors as well as a labelling procedure to insert fluorine-18. After radiolabelling, both radiotracers were obtained in approximately 5% radiochemical yield with high radiochemical purity (>98%) and a molar activity of >10 GBq μmol-1. In line with the docking studies, first cell experiments revealed specific, time-dependent binding and uptake of [18F]3 to EphA2 and EphB4-overexpressing A375 human melanoma cells, whereas [18F]2 did not accumulate at these cells. Since both tracers [18F]3 and [18F]2 are stable in rat blood, the novel radiotracers might be suitable for in vivo molecular imaging of Eph receptors with PET.","Organic & biomolecular chemistry",32253415,[18F]2,"fluorine-18-labelled receptor tyrosine kinase inhibitors","Eph receptors","ATP-binding site","EphB4-overexpressing A375 human melanoma cells"
13674,"In vivo mitochondrial and glycolytic impairments in patients with Alzheimer disease.","OBJECTIVE
In vivo glycolysis-related glucose metabolism and electron transport chain-related mitochondrial activity may be different regionally in the brains of patients with Alzheimer disease (AD). To test this hypothesis regarding AD pathophysiology, we measured the availability of mitochondrial complex-I (MC-I) with the novel PET probe [18F]2-tert- butyl-4-chloro-5-2H- pyridazin-3-one ([18F]BCPP-EF), which binds to MC-I, and compared [18F]BCPP-EF uptake with 18F-fluorodeoxyglucose ([18F]FDG) uptake in the living AD brain.


METHODS
First, the total distribution volume (VT) of [18F]BCPP-EF from 10 normal controls (NCs) was quantified using arterial blood samples and then tested to observe whether VT could substitute for the standard uptake value relative to the global count (SUVRg). Eighteen NCs and 14 different NCs underwent PET with [18F]BCPP-EF or [18F]FDG, respectively. Second, 32 patients with AD were scanned semiquantitatively with double PET tracers. Interparticipant and intraparticipant comparisons of the levels of MC-I activity ([18F]BCPP-EF) and glucose metabolism ([18F]FDG) were performed.


RESULTS
The [18F]BCPP-EF VT was positively correlated with the [18F]BCPP-EF SUVRg, indicating that the use of the SUVRg was sufficient for semiquantitative evaluation. The [18F]BCPP-EF SUVRg, but not the [18F]FDG SUVRg, was significantly lower in the parahippocampus in patients with AD, highlighting the prominence of oxidative metabolic failure in the medial temporal cortex. Robust positive correlations between the [18F]BCPP-EF SUVRg and [18F]FDG SUVRg were observed in several brain regions, except the parahippocampus, in early-stage AD.


CONCLUSIONS
Mitochondrial dysfunction in the parahippocampus was shown in early-stage AD. Mitochondria-related energy failure may precede glycolysis-related hypometabolism in regions with pathologically confirmed early neurodegeneration in AD.",Neurology,32139504,[18F]FDG,"[18F]BCPP-EF VT",MC-I,NULL,NULL
24762,"The Impact of Primary Tumor and Locoregional Metastatic Lymph Node SUVmax on Predicting Survival in Patients with Rectal Cancer.","Objectives
The aim of this study was to evaluate the impact of maximum standard uptake value (SUVmax) of the primary tumor and locoregional metastatic lymph node in predicting survival in patients with the preoperative rectal adenocarcinoma.


Methods
One hundred and fifteen patients [mean age ± standard deviation (SD): 58.7±11.4 years] with biopsy-proven rectal adenocarcinoma underwent 18F-fluorodeoxyglucose (FDG) positron emission tomography/computed tomography (PET/CT) imaging for the staging were included in this study. All patients were followed-up for a minimum of 12 months (mean ± SD: 29.7±13.5 months). Tumor-node-metastasis 2017 clinical staging, SUVmax of the primary rectal tumor and locoregional lymph nodes on the PET/CT studies were evaluated.


Results
All patients had increased FDG activity of the primary tumor. The mean ± SD SUVmax of the primary tumor and locoregional metastatic lymph node were 21.0±9.1 and 4.6±2.8, respectively. Primary tumor SUVmax did not have an effect on predicting survival (p=0.525) however locoregional metastatic lymph node SUVmax had an effect (p<0.05) on predicting survival. Clinical stage of the disease was a factor predicting survival (p<0.001).


Conclusion
18F-FDG PET/CT is an effective imaging modality for detecting primary tumors and metastases in rectal adenocarcinoma and clinical stage assessment with PET/CT had an effect on predicting survival. Furthermore, in our study locoregional lymph node SUVmax was defined as a factor in predicting survival.","Molecular imaging and radionuclide therapy",32368877,18F-FDG,"18F-fluorodeoxyglucose (FDG)",p<0.05,NULL,NULL
41266,"Is 18F-FDG PET/CT useful for diagnosing relapsing polychondritis with airway involvement and monitoring response to steroid-based therapy?","BACKGROUND
18F-fluorodeoxyglucose (FDG) positron emission tomography/computed tomography (PET/CT) is a promising tool for diagnosing relapsing polychondritis (RP). However, its usefulness in assessing RP with airway involvement is unknown.


OBJECTIVE
This study aimed to further evaluate and confirm the potency of 18F-FDG PET/CT in diagnosing RP with airway involvement and monitoring response to steroid-based therapy.


METHODS
A total of 30 patients from a dedicated respiratory centre, diagnosed with RP in accordance with McAdam, Damiani or Levine criteria, were included in this study. All patients underwent baseline 18F-FDG PET/CT, and 10 patients underwent second scans after 2.5-15 months of steroid-based therapy. Visual scores (VS) and maximal standard uptake values (SUVmax) were analysed.


RESULTS
In the initial scan, 83.3% (25/30) of patients were found to have FDG uptake in more than one cartilage. The median VS and SUVmax in the cartilages were 3 (range, 1-3) and 3.8 (range, 1.9-17.9), respectively. Positive rates for PET/CT-guided biopsy in nasal, auricular, and tracheal/bronchial cartilages were 100% (5/5), 88.9% (8/9), and 10.5% (2/19), respectively, but the positive biopsy rate in the auricular cartilage was 92.3% (12/13) even without PET/CT assessment. Based on biopsy-proven sites, the sensitivity of PET/CT was 55.6%, and the specificity was 5.3%. Compared with the baseline scan, the second scan showed much lower median VS (2 vs 3, respectively; p < 0.0001) and SUVmax (2.9 vs 3.8, respectively; p < 0.001). Of 10 patients who underwent second PET/CT, 8 had complete therapeutic response, while 2 had partial response.


CONCLUSION
18F-FDG PET/CT assists in identifying multiple cartilage involvement in RP, but it seems neither a sensitive nor specific modality in diagnosing RP with airway involvement. Moreover, PET/CT has limited utility in locating biopsy sites and monitoring therapeutic response to corticosteroids.","Arthritis research & therapy",31831053,18F-FDG,"18F-FDG PET/CT",NULL,NULL,NULL
12428,"Potential Applications of 68Ga-PSMA-11 PET/CT in the Evaluation of Salivary Gland Uptake Function: Preliminary Observations and Comparison with 99mTcO4 - Salivary Gland Scintigraphy.","Purpose
To preliminarily evaluate the feasibility and potential of using 68Ga-PSMA-11 PET/CT in evaluating the function of salivary glands and lacrimal glands in comparison with 99mTc-pertechnetate (99mTcO4 -) salivary gland scintigraphy (SGS).


Methods
A retrospective study was performed in 15 patients with different degrees of xerostomia and suspected salivary gland dysfunction. Each patient underwent 68Ga-PSMA-11 PET/CT first and SGS the next day, and the findings of both scans were compared.


Results
The results of 68Ga-PSMA-11 PET/CT and SGS were consistent in 12/15 patients (80%) and were inconsistent in the remaining patients (20%). For 5 (33.3%) of 15 patients, 68Ga-PSMA-11 PET/CT provided more information than did SGS. Additionally, 68Ga-PSMA-11 PET/CT corrected the misdiagnosis by SGS for 1 patient.


Conclusions
68Ga-PSMA-11 PET/CT is a potentially useful imaging tool for evaluating the function of salivary glands and lacrimal glands. 68Ga-PSMA-11 PET/CT can be a promising supplement to SGS, and its clinical value deserves further study.","Contrast media & molecular imaging",32410918,68Ga-PSMA-11,"99mTcO4 -)",NULL,NULL,NULL
43171,"Imaging Early-Stage Metastases Using an 18F-Labeled VEGFR-1-Specific Single Chain VEGF Mutant.","PURPOSE
Metastatic breast cancer is the second leading cause of cancer-related death in women. The 5-year survival rate for metastatic breast cancer has remained near 26.9 % for over a decade. The recruitment of hematopoietic stem cells with high expression of the vascular endothelial growth factor receptor 1 (VEGFR-1) has been implicated in early stages of metastasis formation. We propose the use of an 18F-labeled single-chain version of VEGF121, re-engineered to be selective for VEGFR-1 (scVR1), as a positron emission tomography (PET) imaging agent to non-invasively image early-stage metastases.


PROCEDURES
scVR1 was 18F-labeled via a biorthogonal click reaction between site-specifically trans-cyclooctene functionalized scVR1 and an Al18F labeled tetrazine-NODA (1,4,7-triazacyclononane-1,4-diiacetic acid). The [18F]AlF-NODA-scVR1 was purified using a PD10 column and subsequently analyzed on HPLC to determine radiochemical purity. Animal experiments were performed in 6-8-week-old female BALB/c mice bearing orthotopic primary 4T1 breast tumors or 4T1 metastatic lesions. The [18F]AlF-NODA-scVR1 tracer was administered via tail vein injection; PET imaging and ex vivo analysis was performed 2 h post-injection.


RESULTS
The [18F]AlF-NODA-scVR1 was prepared with a 98.2 ± 1.5 % radiochemical purity and an apparent molar activity of 7.5 ± 1.2 GBq/μmol. The specific binding of scVR1 to VEGFR-1 was confirmed via bead-based assay. The ex vivo biodistribution showed tumor uptake of 3.5 ± 0.5 % ID/g and was readily observable in PET images. Metastasis formation was detected with [18F]AlF-NODA-scVR1 tracer showing colocalization with bioluminescent imaging as well as ex vivo autoradiography and immunofluorescent staining of VEGFR-1.


CONCLUSIONS
The diagnostic capabilities of the [18F]AlF-NODA-scVR1 PET tracer was confirmed in both orthotopic and metastatic murine cancer models. These results support the potential use of [18F]AlF-NODA-scVR1 as a PET tracer that could image metastases, providing clinicians with an additional tool to assess a patient's need for adjuvant therapies.","Molecular imaging and biology",33156495,[18F]AlF-NODA-scVR1,"18F-labeled single-chain version of VEGF121",VEGFR-1,NULL,NULL
71421,"N-(2-18F-fluoropropionyl)-l-glutamate as a potential oncology tracer for PET imaging of glioma.","N-(2-18F-fluoropropionyl)-l-glutamate (18F-FPGLU), a new N-substituted 18F-labeling l-glutamate, is a potential amino acid tracer for oncology PET imaging with good tumor-to-background contrast in several tumor-bearing mice. Herein, we evaluated the potential value of 18F-FPGLU for PET imaging of glioma in orthotopic glioma-bearing SD rats. A series of competitive inhibition experiments with various types of inhibitors were conducted with C6 cells to investigate the transport mechanism of 18F-FPGLU in glioma. Establishment of orthotopic rat C6 glioma-bearing SD rats models was confirmed by MRI. Then PET imaging of 18F-FPGLU was performed on the orthotopic C6 glioma-bearing SD rats and compared with that of 18F-FDG. After the rats sacrificed, the whole brain was collected and immunofluorescence staining of glial fibrillary acidic protein (GFAP) and matrix metalloproteinase 2 (MMP2) were processed. Na+-dependent system XAG- and Na+-independent system XC- are the mainly transporters of 18F-FPGLU in C6 cells. N-methyl-d-aspartate (NMDA) receptor, which is associated with the invasiveness and proliferation of glioma cells, is also involved in the uptake of 18F-FPGLU. High uptake and retention of 18F-FPGLU was observerd in orthotopic glioma with good visualization and the tumor/background ratio reached 2.35 at 60 min post-injection, which was significantly higher than that of 18F-FDG (1.72) in small-animal PET images. High expression of MMP-2 and GFAP was observed in the immunofluorescence staining of glioma xerography slices. 18F-FPGLU seems to be a better potential PET tracer than 18F-FDG for brain glioma imaging with good visualization and ability to assess the tumor activity.","Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture, industry and medicine",33285464,18F-FDG,"18F-labeling l-glutamate",GFAP,NULL,"C6 cells"
45828,"A New [68Ga]Ga-HBED-CC-Bisphosphonate as a Bone Imaging Agent.","Positron emission tomography (PET) imaging using 68Ga-labeled bisphosphonates to target bone metastasis could be a valuable tool in cancer diagnosis and monitoring therapeutic treatment. A 68Ga labeled ligand, N,N'-bis[2-hydroxy-5-(carboxyethyl)benzyl]ethylenediamine-N,N'-diacetic acid (HBED-CC) containing one bisphosphonate group (HBED-CC-BP, 1) was prepared and evaluated. The new ligand, 1, reacted rapidly to form [68Ga]Ga-1, via complexing with [68Ga]GaCl3 eluted from a commercially available 68Ge/68Ga generator (in a sodium acetate buffer at pH 4, reaching >95% labeling yield at room temperature in 5 min). The resulting [68Ga]Ga-1 showed excellent stability in vitro and in vivo. [68Ga]Ga-1 displayed high binding affinity to hydroxyapatite and good uptake in the tibia and femur bone of normal mice. Biodistribution and MicroPET imaging studies of [68Ga]Ga-1 in normal mice and rats showed excellent bone uptake and retention comparable to that of Na[18F]F. The results suggested that [68Ga]Ga-1 might be suitable as a bone imaging agent in humans and it could be useful as a convenient alternative to the current bone imaging PET agent, Na[18F]F, without the need of a near-by cyclotron. Also, an automated synthesis module was developed to produce clinical doses of [68Ga]Ga-1 in a consistent and reproducible manner. Currently, the investigation new drug application (IND) for [68Ga]Ga-HBED-CC-BP, [68Ga]Ga-1, has received FDA approval, and it is currently under clinical trial (IND #129870).","Molecular pharmaceutics",32251600,[68Ga]Ga-1,"68Ga-labeled bisphosphonates",Na[18F]F.,NULL,NULL
